            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460685.500000000, A.D. 2025-Jan-10 00:00:00.0000,  1.611774819433130E-02,  1.471024017728816E+08,  3.083170153178875E-03,  1.947826149700056E+02,  2.690171226741901E+02,  2.460679765155350E+06,  1.141731927612817E-05,  5.657174124140892E+00,  5.842961247348044E+00,  1.495122017933672E+08,  1.519220018138527E+08,  3.153104431026150E+07,
2460686.500000000, A.D. 2025-Jan-11 00:00:00.0000,  1.598424387040361E-02,  1.471010604713887E+08,  3.160739876752519E-03,  1.863678263859383E+02,  2.771143893420765E+02,  2.460679453126920E+06,  1.141979939316012E-05,  6.952942966085703E+00,  7.179155208296413E+00,  1.494905539419180E+08,  1.518800474124474E+08,  3.152419649469691E+07,
2460687.500000000, A.D. 2025-Jan-12 00:00:00.0000,  1.589219550886704E-02,  1.470991989776905E+08,  3.321980215243620E-03,  1.780807721044683E+02,  2.850419276295174E+02,  2.460679099958286E+06,  1.142161860610626E-05,  8.289395084059789E+00,  8.557209678776585E+00,  1.494746798129024E+08,  1.518501606481143E+08,  3.151917538268489E+07,
2460688.500000000, A.D. 2025-Jan-13 00:00:00.0000,  1.584550996597770E-02,  1.470968747652538E+08,  3.552410558696928E-03,  1.707900919540863E+02,  2.919590303694342E+02,  2.460678733147944E+06,  1.142270209109747E-05,  9.639115896813164E+00,  9.949199117501145E+00,  1.494652275174487E+08,  1.518335802696436E+08,  3.151618567384102E+07,
2460689.500000000, A.D. 2025-Jan-14 00:00:00.0000,  1.584457616466446E-02,  1.470942200445610E+08,  3.820319633917451E-03,  1.649234135461207E+02,  2.974663878120037E+02,  2.460678380563221E+06,  1.142302758156693E-05,  1.097432349294521E+01,  1.132681398373152E+01,  1.494623882387627E+08,  1.518305564329644E+08,  3.151528764413767E+07,
2460690.500000000, A.D. 2025-Jan-15 00:00:00.0000,  1.588659334392659E-02,  1.470914230969454E+08,  4.089454384051281E-03,  1.605171769971222E+02,  3.015526810016839E+02,  2.460678066908897E+06,  1.142262184787887E-05,  1.227039823266261E+01,  1.266494132686804E+01,  1.494659275060061E+08,  1.518404319150668E+08,  3.151640707311434E+07,
2460691.500000000, A.D. 2025-Jan-16 00:00:00.0000,  1.596634396376451E-02,  1.470886995677758E+08,  4.328290626992116E-03,  1.574066593794348E+02,  3.044019888495764E+02,  2.460677811197737E+06,  1.142155059456959E-05,  1.350841083463317E+01,  1.394423214217053E+01,  1.494752731936635E+08,  1.518618468195512E+08,  3.151936306889565E+07,
2460692.500000000, A.D. 2025-Jan-17 00:00:00.0000,  1.607716853246410E-02,  1.470862633742741E+08,  4.513877282854403E-03,  1.553770994406028E+02,  3.062416306017268E+02,  2.460677625737134E+06,  1.141990487576163E-05,  1.467613443133770E+01,  1.515213338724524E+01,  1.494896334043725E+08,  1.518930034344710E+08,  3.152390531414042E+07,
2460693.500000000, A.D. 2025-Jan-18 00:00:00.0000,  1.621187656923060E-02,  1.470843051437541E+08,  4.632001522985455E-03,  1.542381141568317E+02,  3.072681435556298E+02,  2.460677516523068E+06,  1.141778773689225E-05,  1.576764981277195E+01,  1.628249328201629E+01,  1.495081122049190E+08,  1.519319192660838E+08,  3.152975062207512E+07,
2460694.500000000, A.D. 2025-Jan-19 00:00:00.0000,  1.636341112502906E-02,  1.470829812893751E+08,  4.675709166588148E-03,  1.538486724511521E+02,  3.076235916970002E+02,  2.460677484508266E+06,  1.141530390400934E-05,  1.678207759627525E+01,  1.733427883931577E+01,  1.495297988636234E+08,  1.519766164378718E+08,  3.153661111672718E+07,
2460695.500000000, A.D. 2025-Jan-20 00:00:00.0000,  1.652520468951205E-02,  1.470824122610883E+08,  4.643477360418670E-03,  1.541207725122612E+02,  3.073934341502446E+02,  2.460677527127926E+06,  1.141255377722063E-05,  1.772205428823601E+01,  1.831003019203237E+01,  1.495538197444639E+08,  1.520252272278396E+08,  3.154421061467917E+07,
2460696.500000000, A.D. 2025-Jan-21 00:00:00.0000,  1.669125896990137E-02,  1.470826861198172E+08,  4.537702481237848E-03,  1.550172434076848E+02,  3.066100674886640E+02,  2.460677639624548E+06,  1.140963161324336E-05,  1.859241046962592E+01,  1.921451685937205E+01,  1.495793538515031E+08,  1.520760215831891E+08,  3.155228952196332E+07,
2460697.500000000, A.D. 2025-Jan-22 00:00:00.0000,  1.685602736515666E-02,  1.470838633316152E+08,  4.363782926286862E-03,  1.565502385715016E+02,  3.052552365170562E+02,  2.460677815938277E+06,  1.140662700255455E-05,  1.939928399710598E+01,  2.005383365744751E+01,  1.496056197521385E+08,  1.521273761726617E+08,  3.156060068584490E+07,
2460698.500000000, A.D. 2025-Jan-23 00:00:00.0000,  1.701418791194002E-02,  1.470859795599662E+08,  4.129870892510676E-03,  1.587825061076665E+02,  3.032591694513666E+02,  2.460678049105451E+06,  1.140362848692634E-05,  2.014972447692325E+01,  2.083499531541388E+01,  1.496318438691663E+08,  1.521777081783664E+08,  3.156889935626377E+07,
2460699.500000000, A.D. 2025-Jan-24 00:00:00.0000,  1.716038819120215E-02,  1.470890443655331E+08,  3.847254490200886E-03,  1.618306817810680E+02,  3.004972341005284E+02,  2.460678331208157E+06,  1.140072814070763E-05,  2.085174497076692E+01,  2.156598727802055E+01,  1.496572203625712E+08,  1.522253963596092E+08,  3.157693048697284E+07,
2460700.500000000, A.D. 2025-Jan-25 00:00:00.0000,  1.728903946065340E-02,  1.470930347694668E+08,  3.531222477317860E-03,  1.658657105303757E+02,  2.967891015980289E+02,  2.460678652966597E+06,  1.139802589172574E-05,  2.151472772647653E+01,  2.225618030242108E+01,  1.496808732943580E+08,  1.522687118192492E+08,  3.158441675951427E+07,
2460701.500000000, A.D. 2025-Jan-26 00:00:00.0000,  1.739424136852813E-02,  1.470978837312988E+08,  3.202040754520604E-03,  1.710964063198571E+02,  2.919145378876240E+02,  2.460679003102871E+06,  1.139563216093039E-05,  2.215005388848696E+01,  2.291697885161475E+01,  1.497018335575093E+08,  1.523057833837199E+08,  3.159105128316181E+07,
2460702.500000000, A.D. 2025-Jan-27 00:00:00.0000,  1.746992457106819E-02,  1.471034650559525E+08,  2.885173941781058E-03,  1.777051383430611E+02,  2.856770195859706E+02,  2.460679367658275E+06,  1.139366712851203E-05,  2.277177421111387E+01,  2.356251871466254E+01,  1.497190454874710E+08,  1.523346259189894E+08,  3.159649969930397E+07,
2460703.500000000, A.D. 2025-Jan-28 00:00:00.0000,  1.751028724028355E-02,  1.471095782297422E+08,  2.609067204750946E-03,  1.856907460070153E+02,  2.780603318669296E+02,  2.460679729519846E+06,  1.139225490343608E-05,  2.339706548977335E+01,  2.421015389405366E+01,  1.497314183743725E+08,  1.523532585190028E+08,  3.160041651555904E+07,
2460704.500000000, A.D. 2025-Jan-29 00:00:00.0000,  1.751054632876938E-02,  1.471159387744787E+08,  2.398464501008576E-03,  1.946213127845890E+02,  2.694758407528317E+02,  2.460680068472574E+06,  1.139151159068898E-05,  2.404615920653264E+01,  2.488041044220872E+01,  1.497379317658385E+08,  1.523599247571983E+08,  3.160247848882947E+07,
2460705.500000000, A.D. 2025-Jan-30 00:00:00.0000,  1.746791067097470E-02,  1.471221806812323E+08,  2.264015356800509E-03,  2.034800311048286E+02,  2.609175084075596E+02,  2.460680362071597E+06,  1.139152811423330E-05,  2.474145372638918E+01,  2.559610664481849E+01,  1.497377869680598E+08,  1.523533932548874E+08,  3.160243264906604E+07,
2460706.500000000, A.D. 2025-Jan-31 00:00:00.0000,  1.738253803472772E-02,  1.471278757680561E+08,  2.195756569017470E-03,  2.108987428541428E+02,  2.537301906873690E+02,  2.460680587454302E+06,  1.139235136686010E-05,  2.550569691439214E+01,  2.638051582782344E+01,  1.497305731508116E+08,  1.523332705335672E+08,  3.160014894266918E+07,
2460707.500000000, A.D. 2025-Feb-01 00:00:00.0000,  1.725814596408712E-02,  1.471325698730721E+08,  2.169555249706512E-03,  2.156880057998190E+02,  2.490821646264540E+02,  2.460680723892261E+06,  1.139396942579758E-05,  2.635944361186931E+01,  2.725477377644444E+01,  1.497163973110840E+08,  1.523002247490959E+08,  3.159566140180334E+07,
2460708.500000000, A.D. 2025-Feb-02 00:00:00.0000,  1.710200168073566E-02,  1.471358295488504E+08,  2.163785546706603E-03,  2.171626908495120E+02,  2.476423437693124E+02,  2.460680755554518E+06,  1.139630632881171E-05,  2.731831484815677E+01,  2.823506775714874E+01,  1.496959295882682E+08,  1.522560296276861E+08,  3.158918246079975E+07,
2460709.500000000, A.D. 2025-Feb-03 00:00:00.0000,  1.692423087244216E-02,  1.471372890961158E+08,  2.173951446769838E-03,  2.151349166645665E+02,  2.495897023190557E+02,  2.460680673821770E+06,  1.139922862369037E-05,  2.839071133373438E+01,  2.933027935997983E+01,  1.496703445622451E+08,  1.522034000283745E+08,  3.158108428949592E+07,
2460710.500000000, A.D. 2025-Feb-04 00:00:00.0000,  1.673664195558912E-02,  1.471366889084585E+08,  2.216979117813541E-03,  2.098986385029972E+02,  2.546300850366921E+02,  2.460680478654854E+06,  1.140256132089381E-05,  2.957646778256748E+01,  3.054058705634288E+01,  1.496411797558440E+08,  1.521456706032295E+08,  3.157185389043633E+07,
2460711.500000000, A.D. 2025-Feb-05 00:00:00.0000,  1.655140210334506E-02,  1.471339010350601E+08,  2.323048947322826E-03,  2.023422265350197E+02,  2.618839121788653E+02,  2.460680178865095E+06,  1.140610788975733E-05,  3.086659387828188E+01,  3.185718375921894E+01,  1.496101589343275E+08,  1.520864168335949E+08,  3.156203706641066E+07,
2460712.500000000, A.D. 2025-Feb-06 00:00:00.0000,  1.637986179455329E-02,  1.471289427472527E+08,  2.517621032712439E-03,  1.938737066578688E+02,  2.699602492640015E+02,  2.460679791426352E+06,  1.140966906464382E-05,  3.224396167767594E+01,  3.326296653756065E+01,  1.495790265291643E+08,  1.520291103110758E+08,  3.155218595389105E+07,
2460713.500000000, A.D. 2025-Feb-07 00:00:00.0000,  1.623167788463510E-02,  1.471219806078246E+08,  2.804994201630294E-03,  1.858903762977586E+02,  2.774857708901650E+02,  2.460679340065519E+06,  1.141305757743682E-05,  3.368470744013778E+01,  3.473395685450573E+01,  1.495494185983475E+08,  1.519768565888703E+08,  3.154281817623581E+07,
2460714.500000000, A.D. 2025-Feb-08 00:00:00.0000,  1.611424888183185E-02,  1.471133259413268E+08,  3.165971203896470E-03,  1.792226070871634E+02,  2.836589880475055E+02,  2.460678853309665E+06,  1.141610848309241E-05,  3.516017621097335E+01,  3.624127011926965E+01,  1.495227731208986E+08,  1.519322203004704E+08,  3.153438849439549E+07,
2460715.500000000, A.D. 2025-Feb-09 00:00:00.0000,  1.603241553292034E-02,  1.471034199526125E+08,  3.567585299499944E-03,  1.740719892862571E+02,  2.883096940458624E+02,  2.460678362099708E+06,  1.141868610104687E-05,  3.663930463688104E+01,  3.775352466898813E+01,  1.495002704101114E+08,  1.518971208676102E+08,  3.152727002163543E+07,
2460716.500000000, A.D. 2025-Feb-10 00:00:00.0000,  1.598838585352156E-02,  1.470928057764601E+08,  3.973865303619768E-03,  1.702838454857369E+02,  2.916237453104570E+02,  2.460677897115637E+06,  1.142068859806624E-05,  3.809129943980038E+01,  3.923954646347316E+01,  1.494827943713316E+08,  1.518727829662030E+08,  3.152174204810692E+07,
2460717.500000000, A.D. 2025-Feb-11 00:00:00.0000,  1.598186961837987E-02,  1.470820869438507E+08,  4.352276344435738E-03,  1.675963501512502E+02,  2.938912229202115E+02,  2.460677486095530E+06,  1.142205052730937E-05,  3.948832845940593E+01,  4.067108711104193E+01,  1.494709115642103E+08,  1.518597361845698E+08,  3.151798349510568E+07,
2460718.500000000, A.D. 2025-Feb-12 00:00:00.0000,  1.601041259821669E-02,  1.470718764397336E+08,  4.676525570821122E-03,  1.657613843719057E+02,  2.953832638430913E+02,  2.460677151562958E+06,  1.142274299657316E-05,  4.080780601634610E+01,  4.202513696222088E+01,  1.494648706883939E+08,  1.518578649370542E+08,  3.151607281263356E+07,
2460719.500000000, A.D. 2025-Feb-13 00:00:00.0000,  1.606989475401599E-02,  1.470627451132171E+08,  4.927433362630760E-03,  1.645806936293457E+02,  2.963144146240040E+02,  2.460676909376549E+06,  1.142277105585797E-05,  4.203385408630601E+01,  4.328541276503803E+01,  1.494646259212195E+08,  1.518665067292219E+08,  3.151599539547631E+07,
2460720.500000000, A.D. 2025-Feb-14 00:00:00.0000,  1.615511722196948E-02,  1.470551797507956E+08,  5.092798558428619E-03,  1.639071310382132E+02,  2.968409634837416E+02,  2.460676768332735E+06,  1.142216840029875E-05,  4.315770442859414E+01,  4.444278154462853E+01,  1.494698832356212E+08,  1.518845867204467E+08,  3.151765823996993E+07,
2460721.500000000, A.D. 2025-Feb-15 00:00:00.0000,  1.626037853667094E-02,  1.470495584119070E+08,  5.166651404028729E-03,  1.636362083382716E+02,  2.970699740100119E+02,  2.460676730762582E+06,  1.142099022976012E-05,  4.417709960010421E+01,  4.549467530629119E+01,  1.494801624368533E+08,  1.519107664617997E+08,  3.152090954967582E+07,
2460722.500000000, A.D. 2025-Feb-16 00:00:00.0000,  1.637994785422451E-02,  1.470461450213057E+08,  5.148144474422276E-03,  1.636972855675383E+02,  2.970693749840103E+02,  2.460676793808126E+06,  1.141930563867242E-05,  4.509500900410116E+01,  4.644381111965236E+01,  1.494948630830810E+08,  1.519435811448563E+08,  3.152555955598827E+07,
2460723.500000000, A.D. 2025-Feb-17 00:00:00.0000,  1.650837756003687E-02,  1.470450995600992E+08,  5.040331636561829E-03,  1.640470416779252E+02,  2.968760321088486E+02,  2.460676950950423E+06,  1.141719097064445E-05,  4.591809116867469E+01,  4.729664854813098E+01,  1.495133219287544E+08,  1.519815442974096E+08,  3.153139865362869E+07,
2460724.500000000, A.D. 2025-Feb-18 00:00:00.0000,  1.664064138601950E-02,  1.470464967823302E+08,  4.849075878080325E-03,  1.646656771616797E+02,  2.965009568501051E+02,  2.460677193401694E+06,  1.141472521045364E-05,  4.665529327395663E+01,  4.806197810299658E+01,  1.495348526398207E+08,  1.520232084973112E+08,  3.153820993170390E+07,
2460725.500000000, A.D. 2025-Feb-19 00:00:00.0000,  1.677211965199067E-02,  1.470503457516199E+08,  4.582274499825181E-03,  1.655558530330634E+02,  2.959313842851839E+02,  2.460677511103810E+06,  1.141198794023598E-05,  4.731684807604321E+01,  4.874990441727330E+01,  1.495587632234066E+08,  1.520671806951934E+08,  3.154577466128620E+07,
2460726.500000000, A.D. 2025-Feb-20 00:00:00.0000,  1.689847335264075E-02,  1.470566037508186E+08,  4.249516057292888E-03,  1.667445271832811E+02,  2.951294373511686E+02,  2.460677893215937E+06,  1.140905988678540E-05,  4.791378616845407E+01,  4.937134566098494E+01,  1.495843509187918E+08,  1.521120980867651E+08,  3.155387065826270E+07,
2460727.500000000, A.D. 2025-Feb-21 00:00:00.0000,  1.701545685446901E-02,  1.470651800144675E+08,  3.862212201890806E-03,  1.682881658747621E+02,  2.940268850350910E+02,  2.460678328079377E+06,  1.140602572264670E-05,  4.845797494201233E+01,  4.993806382102121E+01,  1.496108774445851E+08,  1.521565748747028E+08,  3.156226443407179E+07,
