            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458860.500000000, A.D. 2020-Jan-12 00:00:00.0000, -5.318029919135875E+07,  1.384967093284517E+08, -2.545564144559205E+03, -2.831016235572861E+01, -1.075892668881390E+01, -7.151872007105098E-05,  4.948621240898415E+02,  1.483559325519946E+08,  1.042557708532791E-01,
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000, -5.561807695956852E+07,  1.375459128913036E+08, -2.543897123746574E+03, -2.811851828310553E+01, -1.124975674848330E+01,  1.201998423052686E-04,  4.948932176530143E+02,  1.483652541677261E+08,  1.114806284703597E-01,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000, -5.803894281817579E+07,  1.365528366484144E+08, -2.523225443415344E+03, -2.791866668813725E+01, -1.173762375989711E+01,  3.661963309298244E-04,  4.949263496696006E+02,  1.483751868964171E+08,  1.183761179353692E-01,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000, -6.044218285882099E+07,  1.355177379738952E+08, -2.479497571378946E+03, -2.771049131888825E+01, -1.222248624622932E+01,  6.510087320039659E-04,  4.949614043000939E+02,  1.483856960102569E+08,  1.248024154735050E-01,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000, -6.282707203598459E+07,  1.344408805034203E+08, -2.410144928850234E+03, -2.749385491721819E+01, -1.270423969722419E+01,  9.561523328747157E-04,  4.949982306580175E+02,  1.483967362746180E+08,  1.306580629192802E-01,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000, -6.519287344546965E+07,  1.333225396745248E+08, -2.314243865489960E+03, -2.726862409250904E+01, -1.318271631592941E+01,  1.262400437999744E-03,  4.950366550866092E+02,  1.484082556285128E+08,  1.358868982026176E-01,
2458866.500000000, A.D. 2020-Jan-18 00:00:00.0000, -6.753883956562446E+07,  1.321630078496175E+08, -2.192492012150586E+03, -2.703468917115429E+01, -1.365769416704906E+01,  1.551725510710256E-03,  4.950764941928326E+02,  1.484201990920920E+08,  1.404767676847850E-01,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000, -6.986421490070793E+07,  1.309625984207605E+08, -2.047042669199407E+03, -2.679197673634269E+01, -1.412891078442468E+01,  1.808627491667103E-03,  4.951175666930498E+02,  1.484325123178883E+08,  1.444531733788490E-01,
2458868.500000000, A.D. 2020-Jan-20 00:00:00.0000, -7.216823941621798E+07,  1.297216486983837E+08, -1.881250652901828E+03, -2.654045573253568E+01, -1.459607721133805E+01,  2.020877071090332E-03,  4.951597031100109E+02,  1.484451444979004E+08,  1.478711844025682E-01,
2458869.500000000, A.D. 2020-Jan-21 00:00:00.0000, -7.445015229985531E+07,  1.284405216445345E+08, -1.699373216390610E+03, -2.628013925650258E+01, -1.505889055804616E+01,  2.179843132923409E-03,  4.952027531510035E+02,  1.484580505755066E+08,  1.508076365913495E-01,
